"","breed"
"1","LABRADOR RETRIEVER"
"2","GOLDEN RETRIEVER"
"3","GER SHEPHERD"
"4","SHIH TZU"
"5","BEAGLE"
"6","BOXER"
"7","DACHSHUND"
"8","YORKSHIRE TERRIER"
"9","GOLDENDOODLE"
"10","CHIHUAHUA"
"11","AM PIT BULL TERRIER"
"12","TAG"
"13","AUS SHEPHERD"
"14","PUG"
"15","COCKER SPANIEL"
"16","SIB HUSKY"
"17","SHETLAND SHEEPDOG"
"18","BOSTON TERRIER"
"19","MALTESE"
"20","ROTTWEILER"
"21","CAV KING CHAR SPANI"
"22","BICHON FRISE"
"23","SCHNAUZER MIN"
"24","LABRADOODLE"
"25","COCKAPOO"
"26","POMERANIAN"
"27","ENG SPRINGER SPANIE"
"28","ENG BULLDOG"
"29","PARSON RUSSELL TERR"
"30","DOBERMAN PINSCHER"
"31","W HGHLND WH TERRIER"
"32","BORD COLLIE"
"33","HAVANESE"
"34","POODLE STANDARD"
"35","GER SHORTHAIR POINT"
"36","SFT COAT WHEAT TERR"
"37","POODLE TOY"
"38","BRITTANY SPANIEL"
"39","GREAT DANE"
"40","GREYHOUND"
"41","MIN PINSCHER"
"42","MORKIE"
"43","PUGGLE"
"44","WELSH CORGI PEMBROK"
"45","FRENCH BULLDOG"
"46","JACK RUSSEL TERRIER"
"47","CAIRN TERRIER"
"48","WEIMARANER"
"49","AM BULLDOG"
"50","COLLIE"
